Date of Expense,Quarter,Expense Category,Operating Expenses,Payment Method,Department,Supplier Name,Invoice/Receipt Reference,Expense Approval,Budgeted Amount vs. Actual Spend,Location,Department ID,Business Group
2023-02-20 00:00:00,Q1 2023,Software Subscriptions,9592,Cash,IT,HP Inc.,INV2904,Approved,270,Dubai,1,Abu Dhabi Aviation
2023-02-20 00:00:00,Q1 2023,Marketing,325,Bank Transfer,IT,PayPal,INV4570,Approved,969,Abu Dhabi,1,Etihad Engineering
2023-02-21 00:00:00,Q1 2023,Maintenance,2591,Credit Card,Research & Development,HP Inc.,INV1768,Pending,-458,Ras Al Khaimah,9,AMMROC
2023-02-21 00:00:00,Q1 2023,Software Subscriptions,7969,Credit Card,Customer Support,Alibaba,INV8871,Approved,412,Sharjah,7,GAL
2023-02-22 00:00:00,Q1 2023,Salaries,4526,Bank Transfer,IT,Accenture,INV3194,Approved,1404,Abu Dhabi,1,Abu Dhabi Aviation
2023-02-22 00:00:00,Q1 2023,Utilities,5152,Credit Card,Product Development,HP Inc.,INV4768,Pending,909,Fujairah,8,Etihad Engineering
2023-02-22 00:00:00,Q1 2023,Salaries,8892,Credit Card,Marketing,Intuit,INV8761,Approved,390,Ajman,3,AMMROC
2023-02-23 00:00:00,Q1 2023,Marketing,9032,Credit Card,Product Development,IBM,INV5177,Rejected,1469,Abu Dhabi,8,GAL
2023-02-24 00:00:00,Q1 2023,Marketing,1250,Credit Card,Finance,Microsoft,INV8369,Approved,926,Dubai,5,Abu Dhabi Aviation
2023-02-24 00:00:00,Q1 2023,Rent,3863,Bank Transfer,IT,Microsoft,INV3868,Rejected,666,Dubai,1,Etihad Engineering
2023-02-25 00:00:00,Q1 2023,Software Subscriptions,8406,Bank Transfer,Customer Support,Tencent,INV1554,Rejected,1406,Ajman,7,AMMROC
2023-02-25 00:00:00,Q1 2023,Salaries,6115,Credit Card,Finance,Intuit,INV9361,Rejected,1088,Umm Al Quwain,5,GAL
2023-02-26 00:00:00,Q1 2023,Software Subscriptions,6474,Bank Transfer,Sales,Tencent,INV4310,Approved,714,Ras Al Khaimah,6,Abu Dhabi Aviation
2023-02-27 00:00:00,Q1 2023,Software Subscriptions,960,Cash,Sales,Oracle,INV8710,Rejected,-222,Dubai,6,Etihad Engineering
2023-02-27 00:00:00,Q1 2023,Maintenance,5349,Credit Card,Product Development,Dell Technologies,INV9092,Pending,471,Ajman,8,AMMROC
2023-02-27 00:00:00,Q1 2023,Marketing,5981,Cash,Research & Development,Google,INV6892,Approved,-453,Dubai,9,GAL
2023-02-27 00:00:00,Q1 2023,Utilities,9001,Credit Card,HR,Huawei,INV8822,Rejected,1199,Abu Dhabi,2,Abu Dhabi Aviation
2023-02-28 00:00:00,Q1 2023,Software Subscriptions,7492,Bank Transfer,Research & Development,SAP,INV2647,Approved,-421,Dubai,9,Etihad Engineering
2023-03-01 00:00:00,Q1 2023,Salaries,2938,Cash,Research & Development,Dell Technologies,INV2295,Pending,574,Ajman,9,AMMROC
2023-03-01 00:00:00,Q1 2023,Rent,3540,Credit Card,Customer Support,Microsoft,INV1280,Pending,-273,Dubai,7,GAL
2023-03-03 00:00:00,Q1 2023,Rent,7306,Bank Transfer,IT,Dell Technologies,INV4376,Rejected,-54,Umm Al Quwain,1,Abu Dhabi Aviation
2023-03-03 00:00:00,Q1 2023,Software Subscriptions,3076,Credit Card,Customer Support,Tencent,INV5374,Approved,-111,Umm Al Quwain,7,Etihad Engineering
2023-03-05 00:00:00,Q1 2023,Rent,8326,Credit Card,Finance,Intel,INV6511,Approved,709,Abu Dhabi,5,AMMROC
2023-03-06 00:00:00,Q1 2023,Software Subscriptions,8104,Cash,Sales,Dell Technologies,INV1230,Rejected,701,Fujairah,6,GAL
2023-03-07 00:00:00,Q1 2023,Marketing,3031,Bank Transfer,Customer Support,Intel,INV6523,Approved,39,Abu Dhabi,7,Abu Dhabi Aviation
2023-03-07 00:00:00,Q1 2023,Maintenance,8627,Credit Card,Finance,Dell Technologies,INV1749,Pending,218,Umm Al Quwain,5,Etihad Engineering
2023-03-08 00:00:00,Q1 2023,Software Subscriptions,2844,Bank Transfer,Customer Support,Adobe Inc.,INV7498,Rejected,293,Ras Al Khaimah,7,AMMROC
2023-03-09 00:00:00,Q1 2023,Marketing,5415,Bank Transfer,Research & Development,IBM,INV7688,Pending,1186,Ajman,9,GAL
2023-03-09 00:00:00,Q1 2023,Software Subscriptions,6019,Credit Card,Marketing,Google,INV5944,Rejected,1031,Sharjah,3,Abu Dhabi Aviation
2023-03-09 00:00:00,Q1 2023,Marketing,6297,Cash,Product Development,SAP,INV9806,Pending,740,Dubai,8,Etihad Engineering
2023-03-10 00:00:00,Q1 2023,Software Subscriptions,8408,Cash,HR,Intuit,INV4331,Approved,-440,Fujairah,2,AMMROC
2023-03-12 00:00:00,Q1 2023,Rent,8855,Bank Transfer,Customer Support,IBM,INV6674,Approved,-114,Ajman,7,GAL
2023-03-13 00:00:00,Q1 2023,Marketing,8150,Credit Card,HR,SAP,INV7806,Rejected,608,Abu Dhabi,2,Abu Dhabi Aviation
2023-03-13 00:00:00,Q1 2023,Maintenance,566,Bank Transfer,Operations,SAP,INV8060,Rejected,796,Dubai,4,Etihad Engineering
2023-03-13 00:00:00,Q1 2023,Maintenance,4588,Bank Transfer,Customer Support,Google,INV5715,Rejected,743,Dubai,7,AMMROC
2023-03-15 00:00:00,Q1 2023,Utilities,9162,Bank Transfer,Marketing,Huawei,INV6714,Pending,152,Ajman,3,GAL
2023-03-17 00:00:00,Q1 2023,Rent,4711,Credit Card,HR,Intel,INV6126,Rejected,776,Sharjah,2,Abu Dhabi Aviation
2023-03-18 00:00:00,Q1 2023,Salaries,7490,Credit Card,Customer Support,Dell Technologies,INV8635,Approved,549,Fujairah,7,Etihad Engineering
2023-03-20 00:00:00,Q1 2023,Utilities,7380,Credit Card,IT,Intel,INV5742,Approved,155,Ras Al Khaimah,1,AMMROC
2023-03-20 00:00:00,Q1 2023,Salaries,6992,Cash,Product Development,Adobe Inc.,INV9824,Approved,1031,Ajman,8,GAL
2023-03-21 00:00:00,Q1 2023,Salaries,2031,Cash,Marketing,Microsoft,INV2514,Approved,528,Umm Al Quwain,3,Abu Dhabi Aviation
2023-03-21 00:00:00,Q1 2023,Marketing,3990,Bank Transfer,HR,Salesforce,INV1637,Rejected,-105,Sharjah,2,Etihad Engineering
2023-03-21 00:00:00,Q1 2023,Maintenance,5636,Credit Card,Marketing,PayPal,INV5216,Pending,835,Ajman,3,AMMROC
2023-03-21 00:00:00,Q1 2023,Salaries,1080,Bank Transfer,Finance,Microsoft,INV3924,Rejected,1348,Fujairah,5,GAL
2023-03-22 00:00:00,Q1 2023,Rent,4513,Credit Card,Product Development,Accenture,INV6262,Pending,1055,Fujairah,8,Abu Dhabi Aviation
2023-03-22 00:00:00,Q1 2023,Marketing,7555,Credit Card,Customer Support,Salesforce,INV5055,Pending,1227,Ras Al Khaimah,7,Etihad Engineering
2023-03-22 00:00:00,Q1 2023,Rent,7066,Credit Card,Customer Support,PayPal,INV8758,Pending,1435,Fujairah,7,AMMROC
2023-03-23 00:00:00,Q1 2023,Rent,9917,Credit Card,Customer Support,Microsoft,INV1962,Pending,305,Dubai,7,GAL
2023-03-23 00:00:00,Q1 2023,Software Subscriptions,3342,Cash,Product Development,Alibaba,INV5450,Pending,932,Sharjah,8,Abu Dhabi Aviation
2023-03-23 00:00:00,Q1 2023,Utilities,1999,Cash,IT,Alibaba,INV9341,Pending,890,Fujairah,1,Etihad Engineering
2023-03-24 00:00:00,Q1 2023,Maintenance,3796,Credit Card,Operations,Amazon,INV1151,Pending,1476,Fujairah,4,AMMROC
2023-03-24 00:00:00,Q1 2023,Rent,2241,Credit Card,Sales,Accenture,INV5637,Rejected,644,Ajman,6,GAL
2023-03-25 00:00:00,Q1 2023,Utilities,1166,Cash,Research & Development,SAP,INV9037,Approved,530,Umm Al Quwain,9,Abu Dhabi Aviation
2023-03-25 00:00:00,Q1 2023,Rent,2795,Cash,HR,Adobe Inc.,INV9498,Pending,1356,Dubai,2,Etihad Engineering
2023-03-25 00:00:00,Q1 2023,Marketing,978,Bank Transfer,IT,Amazon,INV1517,Rejected,691,Fujairah,1,AMMROC
2023-03-26 00:00:00,Q1 2023,Rent,2030,Cash,HR,HP Inc.,INV7643,Pending,239,Dubai,2,GAL
2023-03-26 00:00:00,Q1 2023,Software Subscriptions,1169,Credit Card,Customer Support,Intuit,INV3218,Pending,-383,Abu Dhabi,7,Abu Dhabi Aviation
2023-03-27 00:00:00,Q1 2023,Marketing,7783,Credit Card,Marketing,Intuit,INV1987,Approved,-406,Umm Al Quwain,3,Etihad Engineering
2023-03-29 00:00:00,Q1 2023,Software Subscriptions,2668,Credit Card,HR,Cisco Systems,INV8726,Approved,1171,Sharjah,2,AMMROC
2023-04-01 00:00:00,Q2 2023,Software Subscriptions,7823,Bank Transfer,Customer Support,Google,INV8550,Pending,526,Umm Al Quwain,7,GAL
2023-04-02 00:00:00,Q2 2023,Utilities,1595,Bank Transfer,HR,Intuit,INV9767,Approved,828,Fujairah,2,Abu Dhabi Aviation
2023-04-02 00:00:00,Q2 2023,Utilities,5826,Credit Card,Marketing,Dell Technologies,INV3773,Approved,249,Abu Dhabi,3,Etihad Engineering
2023-04-04 00:00:00,Q2 2023,Rent,1145,Bank Transfer,Customer Support,Amazon,INV1945,Pending,-44,Umm Al Quwain,7,AMMROC
2023-04-06 00:00:00,Q2 2023,Maintenance,7906,Credit Card,Operations,HP Inc.,INV5516,Rejected,829,Umm Al Quwain,4,GAL
2023-04-08 00:00:00,Q2 2023,Utilities,3075,Credit Card,IT,Tencent,INV9802,Approved,-100,Dubai,1,Abu Dhabi Aviation
2023-04-08 00:00:00,Q2 2023,Software Subscriptions,4835,Cash,Finance,Google,INV8429,Rejected,981,Ras Al Khaimah,5,Etihad Engineering
2023-04-08 00:00:00,Q2 2023,Marketing,2657,Cash,Research & Development,SAP,INV6927,Pending,1133,Ajman,9,AMMROC
2023-04-09 00:00:00,Q2 2023,Salaries,9792,Credit Card,Product Development,Accenture,INV6427,Rejected,-266,Dubai,8,GAL
2023-04-09 00:00:00,Q2 2023,Salaries,8967,Bank Transfer,Research & Development,Oracle,INV7114,Pending,-375,Dubai,9,Abu Dhabi Aviation
2023-04-09 00:00:00,Q2 2023,Rent,4596,Credit Card,Research & Development,Google,INV1911,Rejected,213,Abu Dhabi,9,Etihad Engineering
2023-04-12 00:00:00,Q2 2023,Rent,7654,Bank Transfer,Customer Support,Tencent,INV4052,Pending,782,Ras Al Khaimah,7,AMMROC
2023-04-12 00:00:00,Q2 2023,Software Subscriptions,9374,Bank Transfer,Operations,Oracle,INV5582,Rejected,-425,Umm Al Quwain,4,GAL
2023-04-13 00:00:00,Q2 2023,Salaries,7198,Bank Transfer,Finance,PayPal,INV3303,Pending,1247,Umm Al Quwain,5,Abu Dhabi Aviation
2023-04-13 00:00:00,Q2 2023,Rent,7768,Cash,IT,Accenture,INV3252,Pending,-473,Ras Al Khaimah,1,Etihad Engineering
2023-04-15 00:00:00,Q2 2023,Maintenance,8273,Cash,IT,IBM,INV9255,Approved,399,Abu Dhabi,1,AMMROC
2023-04-15 00:00:00,Q2 2023,Rent,5337,Credit Card,Marketing,PayPal,INV1647,Pending,928,Sharjah,3,GAL
2023-04-18 00:00:00,Q2 2023,Utilities,612,Bank Transfer,Product Development,Adobe Inc.,INV5398,Rejected,1352,Sharjah,8,Abu Dhabi Aviation
2023-04-18 00:00:00,Q2 2023,Maintenance,6933,Bank Transfer,HR,Tencent,INV5836,Rejected,-27,Umm Al Quwain,2,Etihad Engineering
2023-04-18 00:00:00,Q2 2023,Maintenance,4959,Cash,Operations,SAP,INV1310,Pending,445,Ras Al Khaimah,4,AMMROC
2023-04-19 00:00:00,Q2 2023,Marketing,8254,Credit Card,HR,Intuit,INV5571,Approved,-334,Fujairah,2,GAL
2023-04-19 00:00:00,Q2 2023,Maintenance,8210,Bank Transfer,Finance,Huawei,INV5876,Pending,1381,Sharjah,5,Abu Dhabi Aviation
2023-04-19 00:00:00,Q2 2023,Maintenance,2611,Credit Card,Research & Development,Accenture,INV7567,Pending,668,Abu Dhabi,9,Etihad Engineering
2023-04-20 00:00:00,Q2 2023,Marketing,7439,Credit Card,IT,Adobe Inc.,INV5703,Rejected,-251,Abu Dhabi,1,AMMROC
2023-04-20 00:00:00,Q2 2023,Marketing,3151,Cash,Finance,Intel,INV9592,Approved,1406,Dubai,5,GAL
2023-04-20 00:00:00,Q2 2023,Maintenance,4599,Credit Card,Research & Development,Adobe Inc.,INV9998,Approved,805,Sharjah,9,Abu Dhabi Aviation
2023-04-21 00:00:00,Q2 2023,Utilities,8938,Bank Transfer,IT,Tencent,INV3245,Approved,548,Fujairah,1,Etihad Engineering
2023-04-22 00:00:00,Q2 2023,Maintenance,1284,Credit Card,Research & Development,PayPal,INV9664,Pending,266,Dubai,9,AMMROC
2023-04-22 00:00:00,Q2 2023,Rent,6520,Credit Card,Product Development,PayPal,INV6939,Approved,-324,Ras Al Khaimah,8,GAL
2023-04-23 00:00:00,Q2 2023,Utilities,3661,Bank Transfer,Operations,IBM,INV3837,Rejected,824,Umm Al Quwain,4,Abu Dhabi Aviation
2023-04-23 00:00:00,Q2 2023,Rent,5634,Cash,Finance,Adobe Inc.,INV6026,Pending,297,Ajman,5,Etihad Engineering
2023-04-23 00:00:00,Q2 2023,Maintenance,7508,Credit Card,Finance,PayPal,INV2294,Rejected,524,Ras Al Khaimah,5,AMMROC
2023-04-23 00:00:00,Q2 2023,Marketing,9267,Bank Transfer,Sales,IBM,INV7114,Rejected,234,Ras Al Khaimah,6,GAL
2023-04-24 00:00:00,Q2 2023,Software Subscriptions,925,Credit Card,Customer Support,Intel,INV7756,Pending,-16,Sharjah,7,Abu Dhabi Aviation
2023-04-25 00:00:00,Q2 2023,Salaries,7687,Cash,Product Development,Google,INV4583,Approved,754,Abu Dhabi,8,Etihad Engineering
2023-04-25 00:00:00,Q2 2023,Software Subscriptions,6365,Credit Card,Product Development,Intuit,INV2761,Approved,1321,Sharjah,8,AMMROC
2023-04-26 00:00:00,Q2 2023,Maintenance,5859,Bank Transfer,HR,IBM,INV5947,Pending,382,Ajman,2,GAL
2023-04-27 00:00:00,Q2 2023,Maintenance,7643,Bank Transfer,Research & Development,Tencent,INV1149,Approved,796,Sharjah,9,Abu Dhabi Aviation
2023-04-27 00:00:00,Q2 2023,Salaries,1095,Bank Transfer,Customer Support,Intuit,INV8775,Pending,532,Ras Al Khaimah,7,Etihad Engineering
2023-04-28 00:00:00,Q2 2023,Marketing,8220,Bank Transfer,Operations,PayPal,INV2936,Rejected,-491,Sharjah,4,AMMROC
2023-04-28 00:00:00,Q2 2023,Utilities,8492,Credit Card,Operations,Amazon,INV9950,Pending,775,Fujairah,4,GAL
2023-04-28 00:00:00,Q2 2023,Salaries,2149,Credit Card,Product Development,HP Inc.,INV5833,Pending,515,Ajman,8,Abu Dhabi Aviation
2023-04-30 00:00:00,Q2 2023,Software Subscriptions,1116,Bank Transfer,Operations,Tencent,INV1841,Rejected,-9,Ajman,4,Etihad Engineering
2023-04-30 00:00:00,Q2 2023,Salaries,1284,Cash,Sales,Cisco Systems,INV5728,Pending,1135,Umm Al Quwain,6,AMMROC
2023-05-01 00:00:00,Q2 2023,Salaries,7660,Cash,Finance,IBM,INV1256,Pending,358,Ajman,5,GAL
2023-05-02 00:00:00,Q2 2023,Salaries,3270,Credit Card,Marketing,Huawei,INV3509,Rejected,762,Fujairah,3,Abu Dhabi Aviation
2023-05-02 00:00:00,Q2 2023,Software Subscriptions,9107,Cash,HR,Google,INV9866,Rejected,871,Fujairah,2,Etihad Engineering
2023-05-02 00:00:00,Q2 2023,Maintenance,4013,Credit Card,Research & Development,Alibaba,INV9005,Rejected,382,Ajman,9,AMMROC
2023-05-03 00:00:00,Q2 2023,Utilities,5891,Credit Card,Research & Development,Intel,INV8668,Pending,-128,Sharjah,9,GAL
2023-05-03 00:00:00,Q2 2023,Salaries,6102,Bank Transfer,IT,IBM,INV6224,Approved,924,Fujairah,1,Abu Dhabi Aviation
2023-05-04 00:00:00,Q2 2023,Maintenance,5031,Bank Transfer,Marketing,Adobe Inc.,INV4159,Pending,645,Umm Al Quwain,3,Etihad Engineering
2023-05-05 00:00:00,Q2 2023,Rent,9737,Bank Transfer,Product Development,Salesforce,INV9609,Pending,188,Abu Dhabi,8,AMMROC
